,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
3650,232186,George Mason University,Fairfax,VA,22030-4444,0.8132,24395.0,11924.0,
3651,232195,Germanna Community College,Locust Grove,VA,22508-2102,,5020.0,4801.0,
3652,232256,Hampden-Sydney College,Hampden-Sydney,VA,23943-0128,0.5505,1046.0,43940.0,
3653,232265,Hampton University,Hampton,VA,23668-0099,0.36200000000000004,3786.0,25441.0,
3654,232308,Hollins University,Roanoke,VA,24020,0.4838,628.0,38285.0,
3655,232414,J Sargeant Reynolds Community College,Richmond,VA,23228-2327,,7343.0,4886.0,
3656,232423,James Madison University,Harrisonburg,VA,22807,0.752,19666.0,10830.0,
3657,232450,John Tyler Community College,Chester,VA,23831-5316,,6216.0,4608.0,
3658,232557,Liberty University,Lynchburg,VA,24515,0.2979,45364.0,21310.0,
3659,232566,Longwood University,Farmville,VA,23909,0.9183,4230.0,12720.0,
3660,232575,Lord Fairfax Community College,Middletown,VA,22645,,3947.0,4627.0,
3661,232609,University of Lynchburg,Lynchburg,VA,24501-3113,0.7455,1979.0,37690.0,
3662,232618,Centra College of Nursing,Lynchburg,VA,24501,,302.0,10528.0,
3663,232672,Mary Baldwin University,Staunton,VA,24401,0.9470000000000001,1058.0,31110.0,
3664,232681,University of Mary Washington,Fredericksburg,VA,22401-5300,0.735,4366.0,12128.0,
3665,232706,Marymount University,Arlington,VA,22207-4299,0.9226,2241.0,30876.0,
3666,232724,Sovah School of Health Professions,Danville,VA,24541,,11.0,,
3667,232788,Mountain Empire Community College,Big Stone Gap,VA,24219,,1543.0,4598.0,
3668,232797,American National University,Salem,VA,24153,,912.0,14886.0,
3669,232867,New River Community College,Dublin,VA,24084-3660,,2444.0,4585.0,
3670,232885,Sentara College of Health Sciences,Chesapeake,VA,23320,,440.0,,
3671,232919,Tidewater Tech-Trades,Norfolk,VA,23502,,359.0,15401.0,
3672,232937,Norfolk State University,Norfolk,VA,23504-8000,0.9013,4643.0,9036.0,
3673,232946,Northern Virginia Community College,Annandale,VA,22003-3796,,40119.0,5498.0,
3674,232982,Old Dominion University,Norfolk,VA,23529,0.8572,19364.0,10050.0,
3675,233019,Patrick Henry Community College,Martinsville,VA,24112,,1481.0,4608.0,
3676,233037,Paul D Camp Community College,Franklin,VA,23851,,726.0,4588.0,
3677,233082,Southside College of Health Sciences,Colonial Heights,VA,23834,,110.0,14202.0,
3678,233091,Miller-Motte Technical College-Lynchburg,Lynchburg,VA,24502,,131.0,10820.0,
3679,233116,Piedmont Virginia Community College,Charlottesville,VA,22902-7589,,3369.0,4678.0,
3680,233277,Radford University,Radford,VA,24142,0.7432,8376.0,10627.0,
3681,233286,Sylvain Melloul International Hair Academy,Lynchburg,VA,24502-2652,,60.0,,
3682,233295,Randolph-Macon College,Ashland,VA,23005-5505,0.6223,1439.0,40000.0,
3683,233301,Randolph College,Lynchburg,VA,24503-1555,0.8644,651.0,38155.0,
3684,233310,Rappahannock Community College,Glenns,VA,23149-2616,,1508.0,4708.0,
3685,233329,Fortis College-Norfolk,Norfolk,VA,23502-4101,,229.0,15200.0,
3686,233338,Richard Bland College,South Prince George,VA,23805-7100,0.3292,882.0,7823.0,
3687,233356,Bon Secours Memorial College of Nursing,Richmond,VA,23227-1149,,477.0,,
3688,233374,University of Richmond,University of Richmond,VA,23173,0.3297,3165.0,50910.0,
3689,233408,Riverside College of Health Careers,Newport News,VA,23601,0.5455,336.0,15849.0,
3690,233426,Roanoke College,Salem,VA,24153-3794,0.6719,1990.0,42819.0,
3691,233480,Bon Secours St Mary's Hospital School of Medical Imaging,Richmond,VA,23227,,29.0,,
3692,233541,Shenandoah University,Winchester,VA,22601-5195,0.8325,2055.0,31920.0,
3693,233611,Southern Virginia University,Buena Vista,VA,24416,0.5616,877.0,15900.0,
3694,233639,Southside Virginia Community College,Alberta,VA,23821,,1579.0,4583.0,
3695,233648,Southwest Virginia Community College,Cedar Bluff,VA,24609,,1621.0,4591.0,
3696,233666,Staunton School of Cosmetology,Staunton,VA,24401-4323,,24.0,,
3697,233684,Strayer University-Virginia,Arlington,VA,22201,,4256.0,13857.0,
3698,233718,Sweet Briar College,Sweet Briar,VA,24595-9998,0.9279999999999999,281.0,37155.0,
3699,233754,Thomas Nelson Community College,Hampton,VA,23666,,6693.0,4679.0,
3700,233772,Tidewater Community College,Norfolk,VA,23510,,19516.0,5434.0,
3701,233842,Union Presbyterian Seminary,Richmond,VA,23227,,,,
3702,233897,The University of Virginia's College at Wise,Wise,VA,24293-4400,0.7751,1249.0,9825.0,
3703,233903,Virginia Highlands Community College,Abingdon,VA,24212-0828,,1493.0,4598.0,
3704,233921,Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-0131,0.7006,27120.0,13230.0,
3705,233949,Virginia Western Community College,Roanoke,VA,24015,,4312.0,5228.0,
3706,234030,Virginia Commonwealth University,Richmond,VA,23284-2512,0.8390000000000001,22393.0,13624.0,
3707,234076,University of Virginia-Main Campus,Charlottesville,VA,22903-2628,0.2735,16207.0,16853.0,
3708,234085,Virginia Military Institute,Lexington,VA,24450-0304,0.5314,1722.0,18214.0,
3709,234119,Virginia School of Hair Design,Hampton,VA,23669,,21.0,,
3710,234137,Virginia University of Lynchburg,Lynchburg,VA,24501,,271.0,9800.0,
3711,234155,Virginia State University,Petersburg,VA,23806,0.9111,4265.0,8726.0,
3712,234164,Virginia Union University,Richmond,VA,23220,0.4392,1211.0,17448.0,
3713,234173,Virginia Wesleyan University,Virginia Beach,VA,23455,0.6988,1369.0,36660.0,
3714,234207,Washington and Lee University,Lexington,VA,24450-2116,0.22,1819.0,50170.0,
3715,234359,Wilson Workforce and Rehabilitation Center,Fishersville,VA,22939-1500,1.0,138.0,,
3716,234377,Wytheville Community College,Wytheville,VA,24382-3308,,1489.0,4613.0,
4046,248934,ECPI University,Virginia Beach,VA,23462,0.7129,11512.0,15051.0,
4100,363721,University of the District of Columbia-David A Clarke School of Law,Washington,DC,20008,,,,
4144,366438,Blades School of Hair Design,California,MD,20619,,72.0,,
4154,366793,Baptist Theological Seminary at Richmond,Henrico,VA,23228,,,,
4225,373784,All-State Career-Baltimore,Baltimore,MD,21224,,561.0,,
4275,377449,Centura College-Newport News,Newport News,VA,23608,,179.0,15887.0,
4276,377458,Centura College-Norfolk,Norfolk,VA,23518-4833,,193.0,16337.0,
4277,377485,Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA,23456-2499,,26.0,,
4325,382957,Fortis College-Richmond,Richmond,VA,23230,,404.0,14359.0,
4348,384412,University of the Potomac-Washington DC Campus,Washington,DC,20005,,65.0,13884.0,
4413,405872,Carroll Community College,Westminster,MD,21157,,2559.0,3907.0,
4422,406495,Graham Webb International Academy of Hair,Arlington,VA,22209-2131,,71.0,,
4599,419457,Argosy University-Northern Virginia,Arlington,VA,22209,,48.0,13438.0,
4606,420024,Centura College-Chesapeake,Chesapeake,VA,23320,,190.0,16637.0,
4616,420370,Career Technical Institute,Washington,DC,20005,,387.0,,
4655,427894,CET-Alexandria,Alexandria,VA,22312,,114.0,,
4656,427973,Aviation Institute of Maintenance-Chesapeake,Chesapeake,VA,23320,,183.0,16757.0,
4657,427982,Centura College-Richmond Main,Richmond,VA,23235-5250,,98.0,16337.0,
4677,430184,Strayer University-Maryland,Suitland,MD,20746,,2286.0,13857.0,
4681,430254,Cortiva Institute-Virginia,Charlottesville,VA,22901,,60.0,,
4682,430306,Cayce/Reilly School of Massage,Virginia Beach,VA,23451,,28.0,,
4705,431266,Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA,23294,0.5962,93.0,,
4726,432348,Appalachian School of Law,Grundy,VA,24614-2825,,,,
4729,432524,Delaware College of Art and Design,Wilmington,DE,19801-3007,0.79,143.0,25710.0,
4752,434308,Cortiva Institute-Baltimore,Linthicum,MD,21090,,458.0,,
4762,434672,Community College of Baltimore County,Baltimore,MD,21237,,17614.0,4022.0,
4769,434937,Yeshiva College of the Nations Capital,Silver  Spring,MD,20902,,25.0,10000.0,
4770,434973,University of Phoenix-Maryland,Columbia,MD,21045-5423,,29.0,,
4775,436030,Hair Academy II,Hillcrest Heights,MD,20748-1401,,234.0,,
4798,437097,University of Management and Technology,Arlington,VA,22209-1609,,840.0,9450.0,
4810,437769,Chester Career College,CHESTER,VA,23836,,181.0,,
4822,438498,Stratford University,Fairfax,VA,22030,,1890.0,15135.0,
4825,438647,Altierus Career College-Chesapeake,Chesapeake,VA,23320-2639,,175.0,10407.0,
4844,439473,Bennett Career Institute,Washington,DC,20017,,312.0,,
4880,440341,The Art Institute of Washington,Arlington,VA,22209-1802,,498.0,17590.0,
4917,441362,Harris School of Business-Wilmington Campus,Wilmington,DE,19803,,219.0,,
4942,441858,Eastern Virginia Career College,Fredericksburg,VA,22408,,185.0,,
4943,441876,Rudy & Kelly Academy-A Paul Mitchell Partner School,Virginia Beach,VA,23464,,210.0,,
4970,442639,University of the Potomac-VA Campus,FALLS CHURCH,VA,22043-2536,,37.0,13884.0,
4975,442806,Edward Via College of Osteopathic Medicine,Blacksburg,VA,24060,,,,
5037,444200,Harris School of Business-Dover Campus,Dover,DE,19901,,226.0,,
5042,444282,Empire Beauty School-Midlothian,Midlothian,VA,23112,,65.0,,
5043,444291,Empire Beauty School-Owings Mills,Owings Mills,MD,21117,,93.0,,
5079,444893,Technical Learning Centers Inc,Washington,DC,20006-5540,,172.0,,
5114,445762,Aviation Institute of Maintenance-Manassas,Manassas,VA,20109,,203.0,16757.0,
5119,445869,Divine Mercy University,Sterling,VA,20166,,,,
5133,446206,Culpeper Cosmetology Training Center,Culpeper,VA,22701-1055,,53.0,,
5143,446394,Maple Springs Baptist Bible College and Seminary,Capitol Heights,MD,20743,,36.0,,
5209,447971,Hair Expressions Academy,Rockville,MD,20852,,103.0,,
5223,448257,Avi Career Training,Great Falls,VA,22066,,6.0,,
5275,449472,Delaware Learning Institute of Cosmetology,Dagsboro,DE,19939,,39.0,,
5296,449834,Virginia Beach Theological Seminary,Virginia Beach,VA,23464-6847,,1.0,8210.0,
5303,449922,Appalachian College of Pharmacy,Oakwood,VA,24631,,,,
5304,449931,Averett University-Non-Traditional Programs,Danville,VA,24541,0.56,344.0,10800.0,
5309,449995,Paul Mitchell the School-Tysons Corner,McLean,VA,22102,,209.0,,
5314,450076,Fortis Institute-Baltimore,Baltimore,MD,21244,,87.0,,
5322,450298,Strayer University-Delaware,Newark,DE,19713,,267.0,13857.0,
5328,450483,University of Phoenix-Washington DC,Washington,DC,20001-1431,,70.0,9960.0,
5333,450599,Empire Beauty School-Richmond,Richmond,VA,23294,,72.0,,
5354,451051,Academy of Massage and Bodywork,Bear,DE,19701,,95.0,,
5391,451617,Dominion School of Hair Design,Gloucester Point,VA,23062,,17.0,,
5408,451909,Fortis College-Landover,Landover,MD,20785-2223,,550.0,14335.0,
5473,455017,Frederick School of Cosmetology,Frederick,MD,21701,,23.0,,
5474,455026,Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,20852,,103.0,,
5520,455804,Institute of World Politics,Washington,DC,20036,,,,
5521,455813,Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,20064,,,,
5529,455901,The Temple-A Paul Mitchell Partner School,Frederick,MD,21701,,183.0,,
5536,455983,Columbia College,Vienna,VA,22182,,347.0,,
5654,458113,Bethel College,Hampton,VA,23666,,39.0,8100.0,
5655,458122,Institute of Advanced Medical Esthetics,Ashland,VA,23005-2111,,18.0,,
5674,458496,The Art Institute of Virginia Beach,Virginia Beach,VA,23462,,370.0,17590.0,
5700,459082,Virginia Polytechnic Institute & State University,Roanoke,VA,24016-4950,,,,
5702,459107,Bryant & Stratton College-Hampton,Hampton,VA,23666,,302.0,17223.0,
5713,459259,South University-Richmond,Glen Allen,VA,23060,,504.0,17014.0,
5714,459268,South University-Virginia Beach,Virginia Beach,VA,23452,,452.0,17014.0,
5718,459301,Paul Mitchell the School-Delaware,Newark,DE,19702,,103.0,,
5739,459745,The Chicago School of Professional Psychology at Washington DC,Washington,DC,20005,,,,
5747,459994,Strayer University-Global Region,Washington,DC,20005,,5543.0,13857.0,
5766,460376,Fairfax University of America,Fairfax,VA,22030-0000,0.2353,67.0,9608.0,
5798,460871,Chamberlain University-Virginia,Arlington,VA,22202,0.3333,501.0,19375.0,
5801,460923,Virginia College-Richmond,Richmond,VA,23225-5502,,440.0,,
5834,461379,Holistic Massage Training Institute,Baltimore,MD,21218,,59.0,,
5836,461412,Northern Virginia School of Therapeutic Massage,Falls Church,VA,22042-4302,,129.0,,
5839,461449,Cosmopolitan Beauty and Tech School,Annandale,VA,22003-3204,,115.0,,
5955,475194,Miller-Motte Technical College-Roanoke,Roanoke,VA,24018,,74.0,10660.0,
5999,476179,Empire Beauty School-Virginia Beach,Virginia Beach,VA,23462-6779,,146.0,,
6013,476568,Tomorrow's Image Barber And Beauty Academy of Virginia,Newport News,VA,23608-5532,,15.0,,
6016,476601,Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,21209-1613,1.0,76.0,12700.0,
6064,479248,Columbia College,Centreville,VA,20121,,151.0,,
6088,480310,Empire Beauty School-Glen Burnie,Glen Burnie,MD,21061,,112.0,,
6089,480329,Altierus Career College-Woodbridge,Woodbridge,VA,22192-6808,,224.0,,
6099,480693,Columbia Institute,Silver Spring,MD,20906-4503,,95.0,,
6114,480930,Paul Mitchell the School-Woodbridge,Woodbridge,VA,22192,,126.0,,
6118,480994,Aspen Beauty Academy of Laurel,Laurel,MD,20724,,59.0,,
6134,481207,Institute of Health Sciences,Hunt Valley,MD,21031-1408,,83.0,15150.0,
6160,481526,The Chrysm Insitute of Esthetics,Virginia Beach,VA,23462-2980,,126.0,,
6183,482103,Finger Lakes School of Massage,FREDERICK,MD,21703-3030,,32.0,,
6218,482653,DeVry University-Virginia,Arlington,VA,22202,0.7,227.0,17572.0,
6263,483726,Luckes Beauty Academy LLC,Newport  News,VA,23601-1303,,32.0,,
6267,483780,IGlobal University,Vienna,VA,22182-2734,,64.0,13820.0,
6269,483805,National Personal Training Institute,Vienna,VA,22182-2412,,57.0,,
6270,483814,Standard Healthcare Services-College of Nursing,Falls Church,VA,22043,0.4653,351.0,,
6331,484765,University of Phoenix-Virginia,Virginia Beach,VA,23462,,191.0,9840.0,
6338,484923,Dermal Science International Aesthetics and Nail Academy,Reston,VA,20190,,75.0,,
6413,486424,Saint Michael College of Allied Health,Alexandria,VA,22309-2348,,45.0,16300.0,
6426,486594,Wave Leadership College,Virginia Beach,VA,23454-2140,,52.0,7320.0,
6483,487676,The Temple Annapolis-A Paul Mitchell Partner School,Annapolis,MD,21401-3833,,176.0,,
6527,488262,Hair Academy School of Barbering & Beauty,Newark,DE,19713-2305,,33.0,,
6592,490106,Virginia University of Integrative Medicine,Fairfax,VA,22031-5310,,,,
6626,490443,The Esthetic Institute,Vienna,VA,22182-3818,,147.0,,
6693,11710401,Life Pacific University-Virginia,Christiansburg,VA,24073,,,7228.0,
6717,12697901,Denver Seminary - Washington DC,Landover,MD,207852414,,,,
6725,13090701,Delaware Technical Community College-Owens,Georgetown,DE,19947,,,4848.0,
6726,13090702,Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,19801,,,4848.0,
6727,13180301,Strayer University-Takoma Park Campus,Washington,DC,20012,,,13857.0,
6799,16165101,Aesthetics Institute of Cosmetology - Winchester,Winchester,VA,226015914,,,,
6800,16210401,Cecil College - Elkton Station,Elkton,MD,219215535,,,4005.0,
6930,23368401,Strayer University-Alexandria Campus,Alexandria,VA,22314,,,13857.0,
6931,23368402,Strayer University-Woodbridge Campus,Woodbridge,VA,22192,,,13857.0,
6932,23368403,Strayer University-Manassas Campus,Manassas,VA,20109,,,13857.0,
6933,23368404,Strayer University-Loudoun Campus,Ashburn,VA,20147,,,13857.0,
6934,23368405,Strayer University-Fredericksburg Campus,Fredericksburg,VA,22406,,,13857.0,
6935,23368407,Strayer University-Henrico Campus,Glen Allen,VA,23059,,,13857.0,
6936,23368408,Strayer University-Chesterfield Campus,Midlothian,VA,23113,,,13857.0,
6937,23368409,Strayer University-Chesapeake Campus,Chesapeake,VA,23320,,,13857.0,
6938,23368410,Strayer University-Newport News Campus,Newport News,VA,23602,,,13857.0,
6939,23368411,Strayer University-Virginia Beach Campus,Virginia Beach,VA,23462,,,13857.0,
6959,24893401,ECPI University-Newport News,Newport News,VA,23606,,,14941.0,
6963,24893405,ECPI University-Manassas,Manassas,VA,201091603,,,15246.0,
6968,24893410,ECPI University-Culinary Institute of Virginia,Norfolk,VA,235131603,,,15108.0,
6969,24893411,ECPI University-Virginia Beach Health Sciences,Virginia Beach,VA,234621603,,,15261.0,
6970,24893412,ECPI University-Richmond South,Richmond,VA,232361603,,,14985.0,
6971,24893413,ECPI University-Innsbrook,Glen Allen,VA,230601603,,,15263.0,
6972,24893414,ECPI University-Richmond West,Richmond,VA,232941603,,,16039.0,
6973,24893415,ECPI University - Roanoke,Roanoke,VA,240121603,,,15525.0,
7004,43018401,Strayer University-Rockville Campus,Rockville,MD,20850,,,13857.0,
7005,43018402,Strayer University-Anne Arundel Campus,Millersville,MD,21108,,,13857.0,
7006,43018403,Strayer University-White Marsh Campus,Baltimore,MD,21236,,,13857.0,
7007,43018404,Strayer University-Owings Mills Campus,Owings Mills,MD,21117,,,13857.0,
7084,47503303,Relay Graduate School of Education - Delaware,Wilmington,DE,19801,,,,
7094,47503313,Relay Graduate School of Education - Washington D.C,Washington,DC,20002,,,,
